Barrio,Tipo de Inmueble,Estado,Antigüedad,Área Construida (m2),Área Privada (m2),Estrato,Baños,Habitaciones,Parqueaderos,Piso N°,Barrio_clean,Barrio_group,Piso_cat
Belen Malibu,Apartamento,Usado,1 a 8 años,90.0,90.0,5.0,2,3,1,3,BELEN MALIBU,BELEN MALIBU,3+
El Poblado,Apartamento,Usado,1 a 8 años,110.0,106.0,5.0,2,2,2,25,EL POBLADO,EL POBLADO,3+
Florida nueva,Apartamento,Usado,16 a 30 años,100.0,100.0,4.0,2,3,0,3,FLORIDA NUEVA,FLORIDA NUEVA,3+
El Poblado,Apartaestudio,Buen estado,1 a 8 años,47.5,47.5,5.0,2,1,1,4,EL POBLADO,EL POBLADO,3+
La america,Casa,Usado,más de 30 años,89.0,89.0,4.0,2,3,0,1,LA AMERICA,LA AMERICA,1
La aguacatala,Casa,Usado,9 a 15 años,400.0,400.0,4.0,6,8,7,1,LA AGUACATALA,LA AGUACATALA,missing
Suramericana,Apartamento,Usado,menor a 1 año,78.0,78.0,1.0,2,2,0,9,SURAMERICANA,SURAMERICANA,missing
Calasanz,Casa,Usado,1 a 8 años,250.0,250.0,4.0,3,6,2,2,CALASANZ,CALASANZ,2
Castilla ,Apartamento,Usado,16 a 30 años,60.0,60.0,3.0,2,3,0,3,CASTILLA,CASTILLA,3+
Laureles,Apartaestudio,Buen estado,1 a 8 años,35.0,35.0,5.0,1,1,0,1,LAURELES,LAURELES,1
Laureles,Apartaestudio,Usado,16 a 30 años,35.0,35.0,4.0,1,1,1,3,LAURELES,LAURELES,missing
Prado,Apartamento,Usado,16 a 30 años,120.0,120.0,3.0,2,4,0,1,PRADO,PRADO,1
Belen La Palma,Apartamento,Usado,1 a 8 años,72.0,72.0,5.0,3,2,1,5,BELEN LA PALMA,BELEN LA PALMA,3+
El Poblado,Apartaestudio,Usado,16 a 30 años,140.0,140.0,6.0,4,3,2,10,EL POBLADO,EL POBLADO,3+
El Poblado,Apartamento,Usado,1 a 8 años,112.0,112.0,6.0,3,2,2,8,EL POBLADO,EL POBLADO,missing
Belén,Apartamento,Usado,16 a 30 años,64.0,128.0,5.0,2,2,1,1,BELEN,BELEN,1
La castellana,Apartamento,Usado,16 a 30 años,110.0,110.0,5.0,2,3,1,24,LA CASTELLANA,LA CASTELLANA,missing
Bombona no1,Apartamento,Usado,más de 30 años,75.0,75.0,3.0,3,3,0,11,BOMBONA NO1,BOMBONA NO1,3+
Colasania,Apartamento,Usado,9 a 15 años,95.0,95.0,5.0,3,3,0,6,COLASANIA,COLASANIA,3+
El Poblado,Apartaestudio,Usado,1 a 8 años,51.0,51.0,4.0,2,1,1,2,EL POBLADO,EL POBLADO,missing
Vía Las Palmas,Apartamento,Usado,1 a 8 años,68.0,68.0,4.0,2,2,1,11,VIA LAS PALMAS,VIA LAS PALMAS,3+
Conquistadores,Apartamento,Usado,1 a 8 años,110.0,110.0,4.0,2,3,1,24,CONQUISTADORES,CONQUISTADORES,missing
Laureles Nogal,Apartamento,Usado,1 a 8 años,85.0,85.0,5.0,2,2,1,6,LAURELES NOGAL,LAURELES NOGAL,missing
Belén San Bernardo,Casa,Usado,16 a 30 años,120.0,120.0,3.0,3,4,0,3,BELEN SAN BERNARDO,BELEN SAN BERNARDO,3+
Las palmas,Apartamento,Usado,9 a 15 años,150.0,150.0,5.0,3,3,2,3,LAS PALMAS,LAS PALMAS,missing
Centro,Casa,Usado,1 a 8 años,400.0,400.0,6.0,3,3,1,1,CENTRO,CENTRO,missing
Belén San Bernardo,Apartamento,Usado,16 a 30 años,57.0,57.0,3.0,2,3,0,5,BELEN SAN BERNARDO,BELEN SAN BERNARDO,3+
San joaquin,Casa,Usado,1 a 8 años,174.0,174.0,4.0,3,5,0,1,SAN JOAQUIN,SAN JOAQUIN,missing
Boston,Apartamento,Usado,más de 30 años,113.0,113.0,4.0,3,3,0,5,BOSTON,BOSTON,missing
La america,Apartamento,Usado,más de 30 años,98.0,98.0,4.0,2,3,1,5,LA AMERICA,LA AMERICA,3+
Ciudad del Río,Apartaestudio,Usado,menor a 1 año,49.0,49.0,6.0,2,1,1,9,CIUDAD DEL RIO,CIUDAD DEL RIO,missing
Las palmas,Apartamento,Usado,16 a 30 años,100.0,100.0,5.0,2,3,1,7,LAS PALMAS,LAS PALMAS,missing
Belén Rosales,Apartamento,Usado,1 a 8 años,68.0,68.0,4.0,2,3,0,3,BELEN ROSALES,BELEN ROSALES,3+
El Poblado,Apartamento,Usado,más de 30 años,6300.0,6300.0,4.0,2,2,1,9,EL POBLADO,EL POBLADO,missing
Laureles,Apartamento,Usado,16 a 30 años,50.0,50.0,6.0,1,1,0,4,LAURELES,LAURELES,missing
Vía Las Palmas,Apartamento,Usado,menor a 1 año,65.0,65.0,4.0,2,2,0,10,VIA LAS PALMAS,VIA LAS PALMAS,missing
La América,Casa,Usado,más de 30 años,104.0,104.0,4.0,2,2,1,1,LA AMERICA,LA AMERICA,1
El salvador,Apartamento,Usado,1 a 8 años,45.0,45.0,3.0,1,2,0,4,EL SALVADOR,EL SALVADOR,missing
Laureles,Apartamento,Buen estado,16 a 30 años,117.0,117.0,5.0,2,3,1,1,LAURELES,LAURELES,1
Belén,Apartaestudio,Usado,más de 30 años,20.0,20.0,4.0,1,1,0,3,BELEN,BELEN,3+
El esmeraldal,Apartamento,Usado,1 a 8 años,115.0,115.0,5.0,2,3,2,4,EL ESMERALDAL,OTROS,missing
Vía Las Palmas,Apartamento,Usado,1 a 8 años,55.0,55.0,4.0,3,3,0,5,VIA LAS PALMAS,VIA LAS PALMAS,missing
Belén,Apartaestudio,Usado,1 a 8 años,45.0,45.0,2.0,1,1,0,2,BELEN,BELEN,missing
La candelaria ,Apartamento,Usado,1 a 8 años,76.0,76.0,5.0,2,2,1,15,LA CANDELARIA,LA CANDELARIA,3+
Los colores,Apartamento,Usado,más de 30 años,65.0,65.0,3.0,2,3,0,6,LOS COLORES,LOS COLORES,3+
Loma del Indio,Apartamento,Usado,más de 30 años,68.0,68.0,4.0,2,3,1,2,LOMA DEL INDIO,LOMA DEL INDIO,2
Robledo,Apartamento,Usado,más de 30 años,64.0,64.0,4.0,2,2,0,1,ROBLEDO,ROBLEDO,1
El Poblado,Apartamento,Usado,16 a 30 años,85.0,85.0,4.0,2,3,1,7,EL POBLADO,EL POBLADO,missing
Laureles,Apartamento,Usado,16 a 30 años,102.0,102.0,5.0,2,3,1,2,LAURELES,LAURELES,2
Calasanz,Apartamento,Usado,1 a 8 años,72.0,72.0,4.0,2,2,1,9,CALASANZ,CALASANZ,missing
Robledo,Apartamento,Usado,más de 30 años,42.0,42.0,2.0,1,3,0,1,ROBLEDO,ROBLEDO,1
La mota,Apartamento,Usado,16 a 30 años,71.0,71.0,4.0,2,2,2,3,LA MOTA,LA MOTA,3+
El Poblado,Apartamento,Buen estado,16 a 30 años,68.0,68.0,6.0,2,2,1,6,EL POBLADO,EL POBLADO,3+
San diego,Apartamento,Usado,1 a 8 años,67.0,67.0,4.0,3,2,1,4,SAN DIEGO,SAN DIEGO,missing
Girardot,Apartamento,Usado,16 a 30 años,5000.0,5000.0,3.0,1,2,0,7,GIRARDOT,OTROS,missing
La abadia,Apartamento,Usado,menor a 1 año,100.0,100.0,5.0,2,3,2,10,LA ABADIA,OTROS,3+
El Poblado,Apartamento,Buen estado,16 a 30 años,240.0,240.0,6.0,3,4,2,4,EL POBLADO,EL POBLADO,3+
El Poblado,Apartamento,Buen estado,1 a 8 años,400.0,400.0,6.0,4,2,1,1,EL POBLADO,EL POBLADO,missing
Conquistadores,Apartamento,Usado,1 a 8 años,65.0,65.0,4.0,2,2,0,5,CONQUISTADORES,CONQUISTADORES,missing
Guayabal,Apartamento,Usado,16 a 30 años,55.0,55.0,3.0,1,2,0,1,GUAYABAL,GUAYABAL,1
Laureles,Apartamento,Usado,1 a 8 años,90.0,90.0,5.0,2,2,0,8,LAURELES,LAURELES,missing
La gloria,Casa,Usado,16 a 30 años,92.0,92.0,4.0,2,3,1,1,LA GLORIA,LA GLORIA,1
El Poblado,Apartamento,Usado,16 a 30 años,80.0,80.0,5.0,2,2,2,2,EL POBLADO,EL POBLADO,missing
Vía Las Palmas,Apartamento,Buen estado,16 a 30 años,80.0,80.0,5.0,2,3,0,4,VIA LAS PALMAS,VIA LAS PALMAS,3+
Vía Las Palmas,Apartamento,Usado,1 a 8 años,70.0,70.0,4.0,2,3,1,3,VIA LAS PALMAS,VIA LAS PALMAS,missing
Las palmas,Apartamento,Usado,menor a 1 año,76.0,76.0,6.0,2,3,1,4,LAS PALMAS,LAS PALMAS,missing
El Poblado,Apartamento,Usado,1 a 8 años,127.0,127.0,6.0,3,3,2,4,EL POBLADO,EL POBLADO,missing
Bosques de san pablo,Apartamento,Usado,1 a 8 años,110.0,110.0,4.0,1,2,0,10,BOSQUES DE SAN PABLO,BOSQUES DE SAN PABLO,3+
Robledo,Apartamento,Usado,1 a 8 años,51.0,51.0,3.0,2,3,0,18,ROBLEDO,ROBLEDO,3+
La castellana,Apartamento,Usado,16 a 30 años,115.0,115.0,5.0,2,3,1,3,LA CASTELLANA,LA CASTELLANA,3+
El Poblado,Apartamento,Usado,más de 30 años,85.0,85.0,5.0,2,2,0,1,EL POBLADO,EL POBLADO,1
El Poblado,Apartamento,Usado,9 a 15 años,84.0,84.0,5.0,2,3,1,6,EL POBLADO,EL POBLADO,missing
San diego,Apartamento,Usado,9 a 15 años,59.0,59.0,6.0,2,2,1,12,SAN DIEGO,SAN DIEGO,missing
El Poblado,Apartamento,Usado,16 a 30 años,90.0,90.0,6.0,2,3,2,18,EL POBLADO,EL POBLADO,3+
Boston,Apartamento,Usado,más de 30 años,48.0,48.0,4.0,1,2,0,5,BOSTON,BOSTON,missing
Belén,Apartaestudio,Usado,16 a 30 años,30.0,30.0,3.0,1,1,0,1,BELEN,BELEN,1
El Poblado,Apartamento,Usado,9 a 15 años,65.0,65.0,4.0,2,2,1,5,EL POBLADO,EL POBLADO,missing
Las palmas,Casa,Usado,1 a 8 años,560.0,560.0,6.0,7,4,4,1,LAS PALMAS,LAS PALMAS,1
El Poblado,Apartamento,Usado,9 a 15 años,51.0,51.0,6.0,2,1,1,2,EL POBLADO,EL POBLADO,2
Guayabal,Apartamento,Usado,1 a 8 años,75.0,75.0,5.0,2,3,1,18,GUAYABAL,GUAYABAL,3+
La castellana,Apartamento,Usado,16 a 30 años,115.0,115.0,5.0,2,3,1,3,LA CASTELLANA,LA CASTELLANA,3+
Santa fe,Casa,Usado,1 a 8 años,120.0,120.0,4.0,2,3,0,1,SANTA FE,SANTA FE,missing
Las palmas,Apartamento,Usado,1 a 8 años,68.0,68.0,6.0,2,2,1,12,LAS PALMAS,LAS PALMAS,missing
Santa Mónica,Apartamento,Usado,menor a 1 año,73.0,73.0,4.0,2,3,0,4,SANTA MONICA,SANTA MONICA,missing
Loma de los bernal,Apartamento,Usado,9 a 15 años,100.0,100.0,4.0,2,2,0,8,LOMA DE LOS BERNAL,LOMA DE LOS BERNAL,missing
Boston,Apartamento,Usado,más de 30 años,68.0,68.0,4.0,2,3,0,18,BOSTON,BOSTON,3+
La aguacatala,Casa,Usado,1 a 8 años,350.0,350.0,4.0,3,6,0,1,LA AGUACATALA,LA AGUACATALA,1
San Lucas,Casa,Usado,16 a 30 años,315.0,315.0,6.0,5,3,4,3,SAN LUCAS,SAN LUCAS,3+
Robledo,Apartamento,Usado,más de 30 años,72.0,72.0,3.0,2,3,0,3,ROBLEDO,ROBLEDO,3+
San benito,Casa,Buen estado,más de 30 años,180.0,180.0,3.0,2,4,0,2,SAN BENITO,OTROS,2
Castilla,Apartamento,Usado,9 a 15 años,6000.0,6000.0,3.0,2,3,0,6,CASTILLA,CASTILLA,missing
La aguacatala,Apartamento,Usado,1 a 8 años,198.0,198.0,6.0,3,4,1,1,LA AGUACATALA,LA AGUACATALA,missing
Belén,Apartamento,Usado,1 a 8 años,80.0,80.0,4.0,2,3,0,6,BELEN,BELEN,missing
Santa maria de los angeles,Apartamento,Excelente estado,menor a 1 año,189.86,189.86,6.0,4,3,3,12,SANTA MARIA DE LOS ANGELES,SANTA MARIA DE LOS ANGELES,3+
Laureles,Casa,Usado,16 a 30 años,190.0,190.0,5.0,2,4,0,1,LAURELES,LAURELES,1
Laureles,Casa,Usado,más de 30 años,324.0,324.0,5.0,3,5,1,1,LAURELES,LAURELES,1
San diego,Apartamento,Buen estado,1 a 8 años,50.0,50.0,5.0,1,2,1,1,SAN DIEGO,SAN DIEGO,1
Santa Mónica,Apartamento,Usado,16 a 30 años,130.0,130.0,4.0,3,3,0,4,SANTA MONICA,SANTA MONICA,3+
El Poblado,Apartamento,Buen estado,16 a 30 años,163.0,163.0,5.0,4,4,2,3,EL POBLADO,EL POBLADO,3+
Simon bolivar,Casa,Usado,más de 30 años,200.0,200.0,5.0,1,2,0,1,SIMON BOLIVAR,SIMON BOLIVAR,missing
La milagrosa,Apartamento,Usado,más de 30 años,40.0,40.0,3.0,1,2,0,16,LA MILAGROSA,LA MILAGROSA,3+
Estadio,Apartamento,Usado,menor a 1 año,70.0,70.0,3.0,2,2,0,10,ESTADIO,ESTADIO,missing
El tesoro,Apartamento,Usado,más de 30 años,172.5,172.5,6.0,3,3,2,7,EL TESORO,EL TESORO,missing
Laureles,Casa,Usado,16 a 30 años,270.0,270.0,5.0,2,4,1,1,LAURELES,LAURELES,missing
Vía Las Palmas,Apartamento,Usado,1 a 8 años,70.0,70.0,6.0,2,3,1,2,VIA LAS PALMAS,VIA LAS PALMAS,2
Robledo,Casa,Usado,16 a 30 años,60.0,60.0,3.0,2,3,0,1,ROBLEDO,ROBLEDO,1
Belén Rincón,Apartamento,Usado,16 a 30 años,65.0,65.0,3.0,2,3,0,9,BELEN RINCON,BELEN RINCON,missing
Boston,Apartaestudio,Usado,16 a 30 años,25.0,25.0,2.0,1,1,0,2,BOSTON,BOSTON,2
El Poblado,Apartamento,Buen estado,1 a 8 años,62.0,62.0,4.0,2,2,1,9,EL POBLADO,EL POBLADO,3+
Conquistadores,Apartamento,Usado,1 a 8 años,80.0,80.0,5.0,2,3,1,6,CONQUISTADORES,CONQUISTADORES,missing
Laureles,Apartamento,Usado,1 a 8 años,120.0,120.0,6.0,2,2,1,6,LAURELES,LAURELES,3+
Buenos aires,Apartamento,Usado,más de 30 años,70.0,70.0,3.0,2,3,1,4,BUENOS AIRES,BUENOS AIRES,3+
La Almeria,Apartamento,Usado,1 a 8 años,80.0,80.0,5.0,2,3,1,6,LA ALMERIA,LA ALMERIA,missing
Loma del Indio,Apartamento,Buen estado,1 a 8 años,69.0,69.0,4.0,2,2,1,13,LOMA DEL INDIO,LOMA DEL INDIO,missing
Aranjuez,Apartaestudio,Usado,más de 30 años,35.0,35.0,3.0,1,1,0,2,ARANJUEZ,ARANJUEZ,2
Sevilla,Apartamento,Usado,1 a 8 años,45.0,45.0,3.0,1,2,0,4,SEVILLA,SEVILLA,missing
Belén,Apartamento,Usado,16 a 30 años,80.0,80.0,3.0,2,3,1,1,BELEN,BELEN,1
La america,Apartamento,Usado,más de 30 años,104.0,104.0,4.0,3,3,1,6,LA AMERICA,LA AMERICA,missing
Centro,Apartamento,Nuevo,16 a 30 años,110.0,110.0,4.0,2,3,0,8,CENTRO,CENTRO,3+
Robledo,Apartamento,Usado,9 a 15 años,75.0,75.0,2.0,2,2,0,1,ROBLEDO,ROBLEDO,1
Vía Las Palmas,Apartamento,Buen estado,16 a 30 años,100.0,100.0,5.0,2,2,1,1,VIA LAS PALMAS,VIA LAS PALMAS,1
Villa hermosa,Apartamento,Usado,1 a 8 años,80.0,80.0,3.0,1,3,1,1,VILLA HERMOSA,VILLA HERMOSA,1
El pinal,Casa,Excelente estado,1 a 8 años,39100.0,39100.0,6.0,5,3,2,1,EL PINAL,OTROS,missing
Belén Miravalle,Apartaestudio,Usado,1 a 8 años,20.0,20.0,4.0,1,1,0,3,BELEN MIRAVALLE,BELEN MIRAVALLE,3+
Alejandro echavarria,Casa,Usado,16 a 30 años,80.0,80.0,3.0,2,4,0,3,ALEJANDRO ECHAVARRIA,OTROS,3+
Calasanz,Apartamento,Usado,16 a 30 años,54.0,54.0,4.0,2,2,1,3,CALASANZ,CALASANZ,3+
El Poblado,Apartamento,Usado,9 a 15 años,68.0,68.0,6.0,2,1,1,9,EL POBLADO,EL POBLADO,missing
La gloria,Apartamento,Usado,16 a 30 años,75.0,75.0,3.0,2,2,0,3,LA GLORIA,LA GLORIA,3+
Santa lucia,Apartaestudio,Usado,menor a 1 año,20.0,20.0,3.0,1,1,0,1,SANTA LUCIA,SANTA LUCIA,1
Boston,Apartaestudio,Usado,9 a 15 años,15000.0,15000.0,4.0,1,1,0,1,BOSTON,BOSTON,1
Loma del Indio,Apartamento,Usado,9 a 15 años,86.0,86.0,5.0,2,2,1,9,LOMA DEL INDIO,LOMA DEL INDIO,missing
Robledo,Apartamento,Buen estado,16 a 30 años,125.0,125.0,6.0,3,2,1,8,ROBLEDO,ROBLEDO,3+
Las palmas,Apartaestudio,Usado,más de 30 años,44.0,44.0,3.0,1,1,0,1,LAS PALMAS,LAS PALMAS,1
El Poblado,Apartamento,Usado,16 a 30 años,123.0,123.0,6.0,2,3,2,8,EL POBLADO,EL POBLADO,missing
Conquistadores,Apartamento,Usado,1 a 8 años,110.0,110.0,5.0,4,3,0,10,CONQUISTADORES,CONQUISTADORES,3+
San diego,Apartamento,Usado,9 a 15 años,93.3,93.3,6.0,2,3,2,5,SAN DIEGO,SAN DIEGO,3+
Simon bolivar,Apartamento,Usado,más de 30 años,200.0,200.0,4.0,2,3,1,2,SIMON BOLIVAR,SIMON BOLIVAR,2
El Poblado,Apartamento,Usado,más de 30 años,134.0,134.0,6.0,2,3,2,4,EL POBLADO,EL POBLADO,missing
San diego,Apartamento,Usado,1 a 8 años,88.0,88.0,6.0,2,3,1,9,SAN DIEGO,SAN DIEGO,missing
Guayabal,Apartamento,Usado,1 a 8 años,82.0,82.0,5.0,2,3,1,6,GUAYABAL,GUAYABAL,missing
Conquistadores,Apartamento,Usado,16 a 30 años,95.0,95.0,5.0,2,3,2,9,CONQUISTADORES,CONQUISTADORES,missing
Belén,Apartamento,Usado,más de 30 años,65.0,65.0,4.0,2,2,1,1,BELEN,BELEN,1
El Poblado,Apartamento,Excelente estado,16 a 30 años,125.0,125.0,6.0,2,2,3,11,EL POBLADO,EL POBLADO,3+
La candelaria,Apartaestudio,Buen estado,1 a 8 años,37.0,37.0,4.0,1,1,0,4,LA CANDELARIA,LA CANDELARIA,3+
Loma del Indio,Apartamento,Usado,1 a 8 años,95.0,95.0,4.0,3,3,1,4,LOMA DEL INDIO,LOMA DEL INDIO,missing
Laureles,Apartamento,Usado,16 a 30 años,72.0,72.0,5.0,2,2,1,9,LAURELES,LAURELES,missing
El Poblado,Apartamento,Usado,16 a 30 años,61.0,61.0,4.0,2,2,1,9,EL POBLADO,EL POBLADO,missing
Belén,Casa,Usado,16 a 30 años,230.0,230.0,6.0,6,6,1,1,BELEN,BELEN,missing
El Poblado,Apartamento,Usado,16 a 30 años,168.0,168.0,5.0,3,2,0,1,EL POBLADO,EL POBLADO,1
El Poblado,Casa,Usado,16 a 30 años,113.0,113.0,5.0,4,3,1,1,EL POBLADO,EL POBLADO,missing
El Poblado,Apartamento,Usado,1 a 8 años,110.0,110.0,5.0,3,3,0,13,EL POBLADO,EL POBLADO,missing
Laureles,Apartamento,Nuevo,1 a 8 años,120.0,120.0,4.0,2,2,0,1,LAURELES,LAURELES,1
El Poblado,Apartamento,Usado,1 a 8 años,80.0,80.0,5.0,2,3,1,6,EL POBLADO,EL POBLADO,missing
El Poblado,Apartamento,Buen estado,16 a 30 años,185.0,185.0,6.0,4,3,3,18,EL POBLADO,EL POBLADO,3+
Belen La Palma,Apartaestudio,Usado,1 a 8 años,30.0,30.0,5.0,1,1,0,4,BELEN LA PALMA,BELEN LA PALMA,3+
Manrique,Apartamento,Usado,16 a 30 años,70.0,70.0,2.0,1,3,0,3,MANRIQUE,MANRIQUE,3+
Guayabal,Apartamento,Usado,más de 30 años,62.0,62.0,4.0,2,2,0,18,GUAYABAL,GUAYABAL,3+
Loma de los bernal,Apartamento,Usado,16 a 30 años,90.0,90.0,4.0,2,3,1,5,LOMA DE LOS BERNAL,LOMA DE LOS BERNAL,3+
El Poblado,Apartamento,Usado,16 a 30 años,87.0,87.0,6.0,2,3,1,10,EL POBLADO,EL POBLADO,missing
El Poblado,Apartaestudio,Usado,16 a 30 años,55.0,55.0,6.0,2,1,1,9,EL POBLADO,EL POBLADO,missing
Belén,Apartamento,Usado,16 a 30 años,76.0,76.0,4.0,2,2,1,8,BELEN,BELEN,3+
Belén Aliadas,Apartamento,Usado,1 a 8 años,68.0,68.0,4.0,2,2,0,12,BELEN ALIADAS,BELEN ALIADAS,missing
El Poblado,Apartamento,Usado,16 a 30 años,130.0,130.0,6.0,2,3,0,5,EL POBLADO,EL POBLADO,missing
Rodeo Alto,Apartamento,Usado,16 a 30 años,70.0,70.0,3.0,2,3,1,3,RODEO ALTO,RODEO ALTO,missing
Centro,Apartamento,Usado,16 a 30 años,75.0,75.0,3.0,2,2,0,2,CENTRO,CENTRO,missing
El Poblado,Apartamento,Buen estado,16 a 30 años,149.0,149.0,5.0,2,2,2,4,EL POBLADO,EL POBLADO,3+
Villa hermosa,Apartamento,Usado,más de 30 años,116.0,116.0,4.0,2,5,0,4,VILLA HERMOSA,VILLA HERMOSA,3+
Calasanz,Apartamento,Usado,9 a 15 años,70.0,70.0,4.0,2,3,1,3,CALASANZ,CALASANZ,missing
Estadio,Casa,Usado,más de 30 años,100.0,100.0,5.0,2,3,0,2,ESTADIO,ESTADIO,2
Las palmas,Apartamento,Usado,1 a 8 años,73.0,73.0,5.0,2,2,1,10,LAS PALMAS,LAS PALMAS,missing
Belén,Apartamento,Usado,16 a 30 años,130.0,130.0,4.0,3,4,0,3,BELEN,BELEN,3+
Villa hermosa,Apartaestudio,Usado,menor a 1 año,35.0,35.0,3.0,1,1,0,4,VILLA HERMOSA,VILLA HERMOSA,3+
Laureles ,Apartamento,Usado,16 a 30 años,89.0,89.0,5.0,3,2,1,2,LAURELES,LAURELES,2
Granizal,Apartamento,Excelente estado,1 a 8 años,17800.0,17800.0,6.0,3,3,3,18,GRANIZAL,GRANIZAL,3+
Laureles,Apartamento,Usado,16 a 30 años,70.0,70.0,5.0,2,2,1,10,LAURELES,LAURELES,missing
Belén San Bernardo,Casa,Usado,16 a 30 años,100.0,100.0,3.0,2,4,0,2,BELEN SAN BERNARDO,BELEN SAN BERNARDO,2
Laureles,Apartamento,Usado,1 a 8 años,124.0,124.0,5.0,4,3,2,1,LAURELES,LAURELES,missing
El salvador,Apartamento,Usado,9 a 15 años,42.0,42.0,2.0,1,2,0,3,EL SALVADOR,EL SALVADOR,3+
Guayabal,Apartaestudio,Usado,más de 30 años,40.0,40.0,4.0,1,1,0,4,GUAYABAL,GUAYABAL,3+
Laureles,Casa,Buen estado,más de 30 años,250.0,250.0,5.0,3,6,0,2,LAURELES,LAURELES,2
Calasanz,Apartamento,Usado,más de 30 años,60.0,60.0,3.0,2,3,1,10,CALASANZ,CALASANZ,missing
Laureles,Apartamento,Buen estado,9 a 15 años,65.0,65.0,5.0,2,2,0,9,LAURELES,LAURELES,3+
El Poblado,Apartamento,Usado,16 a 30 años,132.0,132.0,5.0,2,2,2,1,EL POBLADO,EL POBLADO,1
Guayabal,Apartamento,Usado,más de 30 años,68.0,68.0,4.0,2,3,0,18,GUAYABAL,GUAYABAL,3+
Robledo,Apartamento,Usado,más de 30 años,60.0,60.0,3.0,2,3,0,18,ROBLEDO,ROBLEDO,3+
Calasanz,Apartamento,Usado,16 a 30 años,87.0,87.0,4.0,3,3,1,7,CALASANZ,CALASANZ,missing
La milagrosa,Apartaestudio,Usado,1 a 8 años,50.0,50.0,3.0,1,1,0,4,LA MILAGROSA,LA MILAGROSA,missing
Palenque,Apartamento,Usado,16 a 30 años,55.0,55.0,3.0,2,3,0,4,PALENQUE,OTROS,3+
El Poblado,Apartamento,Usado,16 a 30 años,179.0,179.0,6.0,5,3,2,13,EL POBLADO,EL POBLADO,3+
Prado,Apartamento,Usado,9 a 15 años,48.0,48.0,4.0,1,2,0,5,PRADO,PRADO,missing
Belen Las Playas,Apartaestudio,Usado,16 a 30 años,20.0,20.0,3.0,1,1,0,1,BELEN LAS PLAYAS,BELEN LAS PLAYAS,1
La candelaria,Casa,Usado,16 a 30 años,370.0,370.0,4.0,3,5,0,1,LA CANDELARIA,LA CANDELARIA,1
Belén,Apartamento,Usado,menor a 1 año,70.0,70.0,4.0,2,3,0,3,BELEN,BELEN,missing
Castropol,Apartamento,Usado,1 a 8 años,102.4,102.4,6.0,2,3,1,5,CASTROPOL,CASTROPOL,missing
Loma del Indio,Apartamento,Usado,1 a 8 años,54.0,54.0,5.0,2,2,1,9,LOMA DEL INDIO,LOMA DEL INDIO,missing
Vía Las Palmas,Apartamento,Usado,16 a 30 años,85.0,85.0,5.0,2,3,1,7,VIA LAS PALMAS,VIA LAS PALMAS,missing
El tesoro,Apartamento,Usado,9 a 15 años,120.0,120.0,5.0,2,3,1,3,EL TESORO,EL TESORO,missing
El velodromo,Apartaestudio,Usado,1 a 8 años,39.0,39.0,5.0,2,1,0,3,EL VELODROMO,EL VELODROMO,3+
Robledo,Apartamento,Buen estado,16 a 30 años,70.0,70.0,4.0,2,3,1,2,ROBLEDO,ROBLEDO,2
Villa hermosa,Apartaestudio,Usado,menor a 1 año,35.0,35.0,3.0,1,1,0,3,VILLA HERMOSA,VILLA HERMOSA,3+
San diego,Apartamento,Usado,1 a 8 años,115.0,115.0,5.0,3,4,0,3,SAN DIEGO,SAN DIEGO,missing
Boston,Casa,Usado,16 a 30 años,240.0,240.0,3.0,2,6,0,1,BOSTON,BOSTON,1
San javier,Apartamento,Usado,menor a 1 año,45.0,45.0,1.0,1,3,0,2,SAN JAVIER,SAN JAVIER,2
Guayabal,Apartamento,Usado,1 a 8 años,68.0,68.0,4.0,2,2,1,12,GUAYABAL,GUAYABAL,missing
Simon bolivar,Apartamento,Usado,más de 30 años,150.0,150.0,5.0,4,6,0,2,SIMON BOLIVAR,SIMON BOLIVAR,2
Conquistadores,Apartamento,Usado,16 a 30 años,100.0,100.0,5.0,2,3,1,3,CONQUISTADORES,CONQUISTADORES,3+
Laureles,Apartamento,Usado,16 a 30 años,92.0,92.0,5.0,2,2,1,10,LAURELES,LAURELES,missing
 Rodeo Alto ,Apartamento,Usado,1 a 8 años,78.0,78.0,4.0,2,3,1,5,RODEO ALTO,RODEO ALTO,missing
Calasanz,Apartamento,Usado,9 a 15 años,665.0,65.0,4.0,2,2,1,11,CALASANZ,CALASANZ,missing
El Poblado,Apartamento,Usado,más de 30 años,300.0,300.0,6.0,4,4,3,2,EL POBLADO,EL POBLADO,missing
Loma del Indio,Apartamento,Usado,1 a 8 años,70.0,70.0,5.0,2,2,1,10,LOMA DEL INDIO,LOMA DEL INDIO,missing
Belén Rosales,Apartaestudio,Usado,9 a 15 años,45.0,45.0,3.0,1,1,0,2,BELEN ROSALES,BELEN ROSALES,missing
La floresta,Apartaestudio,Usado,menor a 1 año,35.0,35.0,4.0,1,1,0,8,LA FLORESTA,LA FLORESTA,3+
San diego,Apartamento,Usado,1 a 8 años,90.0,90.0,6.0,2,3,1,13,SAN DIEGO,SAN DIEGO,3+
Robledo,Apartaestudio,Nuevo,1 a 8 años,65.0,65.0,4.0,2,3,0,18,ROBLEDO,ROBLEDO,3+
El Poblado,Apartamento,Usado,16 a 30 años,104.0,104.0,6.0,3,2,2,11,EL POBLADO,EL POBLADO,3+
