Barrio,Tipo de Inmueble,Estado,Antigüedad,Área Construida (m2),Área Privada (m2),Estrato,Baños,Habitaciones,Parqueaderos,Piso N°,Barrio_clean,Barrio_group,Piso_cat
El Poblado,Apartamento,Usado,16 a 30 años,70.0,70.0,6.0,2,2,1,6,EL POBLADO,EL POBLADO,3+
El Poblado,Apartamento,Usado,9 a 15 años,70.0,70.0,6.0,2,2,1,10,EL POBLADO,EL POBLADO,missing
Conquistadores,Apartamento,Usado,1 a 8 años,110.0,110.0,5.0,4,3,1,10,CONQUISTADORES,CONQUISTADORES,3+
Belén Rincón,Apartamento,Usado,16 a 30 años,50.0,50.0,3.0,2,3,0,2,BELEN RINCON,BELEN RINCON,2
El Poblado,Apartamento,Buen estado,1 a 8 años,67.0,67.0,5.0,1,1,1,18,EL POBLADO,EL POBLADO,3+
El Poblado,Apartamento,Usado,16 a 30 años,62.0,62.0,6.0,2,1,1,9,EL POBLADO,EL POBLADO,missing
Laureles,Apartaestudio,Usado,9 a 15 años,48.0,48.0,3.0,1,1,0,13,LAURELES,LAURELES,3+
Laureles,Apartamento,Usado,16 a 30 años,170.0,170.0,5.0,4,4,2,2,LAURELES,LAURELES,missing
El Poblado,Apartamento,Usado,16 a 30 años,80.0,80.0,5.0,2,3,0,14,EL POBLADO,EL POBLADO,3+
Estadio,Apartamento,Usado,1 a 8 años,45.0,45.0,5.0,1,1,0,2,ESTADIO,ESTADIO,2
Laureles,Apartamento,Usado,16 a 30 años,85.0,85.0,5.0,2,2,1,6,LAURELES,LAURELES,missing
Laureles,Casa,Usado,16 a 30 años,120.0,120.0,5.0,2,4,0,1,LAURELES,LAURELES,missing
Robledo,Apartamento,Usado,más de 30 años,60.0,60.0,4.0,2,3,0,10,ROBLEDO,ROBLEDO,missing
Ciudad del Río,Apartamento,Usado,menor a 1 año,64.0,64.0,5.0,2,2,1,7,CIUDAD DEL RIO,CIUDAD DEL RIO,missing
Boston,Apartamento,Usado,9 a 15 años,65.0,65.0,4.0,3,3,1,9,BOSTON,BOSTON,3+
Las palmas,Casa,Usado,1 a 8 años,222.4,222.4,5.0,5,4,3,1,LAS PALMAS,LAS PALMAS,missing
Centro,Apartaestudio,Usado,más de 30 años,46.0,46.0,3.0,1,2,0,1,CENTRO,CENTRO,1
San diego,Apartamento,Usado,9 a 15 años,75.0,75.0,4.0,1,1,0,2,SAN DIEGO,SAN DIEGO,2
Los colores,Apartamento,Usado,9 a 15 años,125.0,125.0,5.0,2,3,1,4,LOS COLORES,LOS COLORES,3+
Bombona no1,Apartaestudio,Usado,más de 30 años,50.0,50.0,4.0,1,3,0,11,BOMBONA NO1,BOMBONA NO1,3+
Buenos aires,Apartamento,Usado,16 a 30 años,7000.0,7000.0,3.0,2,3,0,2,BUENOS AIRES,BUENOS AIRES,2
Laureles,Apartamento,Usado,16 a 30 años,67.0,67.0,5.0,2,2,1,5,LAURELES,LAURELES,3+
Santa lucia,Apartamento,Usado,1 a 8 años,90.0,90.0,5.0,2,3,1,4,SANTA LUCIA,SANTA LUCIA,missing
La salle,Apartamento,Usado,1 a 8 años,65.0,65.0,4.0,2,3,1,9,LA SALLE,OTROS,missing
Buenos aires,Apartaestudio,Usado,más de 30 años,40.0,40.0,3.0,1,1,0,1,BUENOS AIRES,BUENOS AIRES,1
San joaquin,Apartaestudio,Usado,16 a 30 años,68.0,68.0,4.0,1,1,0,3,SAN JOAQUIN,SAN JOAQUIN,3+
Robledo,Apartaestudio,Usado,más de 30 años,30.0,30.0,2.0,1,1,0,1,ROBLEDO,ROBLEDO,1
El Poblado,Apartamento,Buen estado,16 a 30 años,60.0,60.0,6.0,2,2,1,13,EL POBLADO,EL POBLADO,3+
Villa hermosa,Apartaestudio,Usado,1 a 8 años,35.0,35.0,3.0,1,1,0,3,VILLA HERMOSA,VILLA HERMOSA,missing
Loma del Indio,Apartamento,Nuevo,menor a 1 año,76.0,76.0,4.0,2,3,1,4,LOMA DEL INDIO,LOMA DEL INDIO,missing
El Poblado,Apartamento,Usado,más de 30 años,101.0,101.0,5.0,1,3,0,4,EL POBLADO,EL POBLADO,3+
Conquistadores,Apartamento,Usado,9 a 15 años,100.0,100.0,5.0,4,3,1,6,CONQUISTADORES,CONQUISTADORES,3+
Centro,Apartamento,Usado,1 a 8 años,32.0,32.0,3.0,1,1,0,3,CENTRO,CENTRO,missing
Laureles,Casa,Nuevo,menor a 1 año,90.0,90.0,5.0,2,2,1,1,LAURELES,LAURELES,missing
Buenos aires,Apartamento,Usado,más de 30 años,48.0,48.0,3.0,1,2,0,2,BUENOS AIRES,BUENOS AIRES,2
Villa hermosa,Apartamento,Usado,9 a 15 años,45.0,45.0,3.0,1,2,0,12,VILLA HERMOSA,VILLA HERMOSA,3+
Pajarito,Apartamento,Usado,1 a 8 años,54.0,54.0,3.0,1,3,0,10,PAJARITO,PAJARITO,missing
Suramericana,Casa,Usado,menor a 1 año,25.0,25.0,4.0,1,1,0,1,SURAMERICANA,SURAMERICANA,missing
La america,Apartamento,Usado,más de 30 años,90.0,90.0,5.0,2,2,0,8,LA AMERICA,LA AMERICA,missing
El Poblado,Apartamento,Usado,menor a 1 año,87.0,87.0,6.0,3,2,2,13,EL POBLADO,EL POBLADO,missing
Ciudad del Río,Apartamento,Usado,1 a 8 años,65.0,65.0,4.0,2,2,1,5,CIUDAD DEL RIO,CIUDAD DEL RIO,missing
Belén,Apartamento,Usado,16 a 30 años,80.0,80.0,4.0,2,3,0,3,BELEN,BELEN,3+
El Poblado,Apartamento,Usado,16 a 30 años,130.0,130.0,6.0,2,3,1,5,EL POBLADO,EL POBLADO,missing
El salvador,Apartaestudio,Usado,1 a 8 años,20.0,20.0,3.0,1,1,0,4,EL SALVADOR,EL SALVADOR,3+
Manrique,Apartamento,Usado,16 a 30 años,180.0,180.0,3.0,2,1,0,1,MANRIQUE,MANRIQUE,1
Boston,Apartaestudio,Usado,1 a 8 años,30.0,30.0,4.0,1,1,0,3,BOSTON,BOSTON,missing
Lalinde,Apartamento,Usado,1 a 8 años,93.0,93.0,6.0,3,2,2,1,LALINDE,OTROS,missing
